codigos;aplicacao/kernel;blocks;threads;Num. of Registers;shared mem. usage(B);Duration(min)(ms);Duration(max)(ms);Duration(Avg)(ms);invocations;inst_per_warp(Avg);branch_efficiency(Avg)%;warp_execution_efficiency(Avg)%;warp_nonpred_execution_efficiency(Avg)%;inst_replay_overhead(Avg);shared_load_transactions_per_request(Avg);shared_store_transactions_per_request(Avg);local_load_transactions_per_request(Avg);local_store_transactions_per_request(Avg);gld_transactions_per_request(Avg);gst_transactions_per_request(Avg);shared_store_transactions(Avg);shared_load_transactions(Avg);local_load_transactions(Avg);local_store_transactions(Avg);gld_transactions(Avg);gst_transactions(Avg);sysmem_read_transactions(Avg);sysmem_write_transactions(Avg);l2_read_transactions(Avg);l2_write_transactions(Avg);global_hit_rate(Avg)%;local_hit_rate(Avg)%;gld_requested_throughput(Avg)B/s;gst_requested_throughput(Avg)B/s;gld_throughput(Avg)B/s;gst_throughput(Avg)B/s;local_memory_overhead(Avg)%;tex_cache_hit_rate(Avg)%;l2_tex_read_hit_rate(Avg)%;l2_tex_write_hit_rate(Avg)%;tex_cache_throughput(Avg)B/s;l2_tex_read_throughput(Avg)B/s;l2_tex_write_throughput(Avg)B/s;l2_read_throughput(Avg)B/s;l2_write_throughput(Avg)B/s;sysmem_read_throughput(Avg)B/s;sysmem_write_throughput(Avg)B/s;local_load_throughput(Avg)B/s;local_store_throughput(Avg)B/s;shared_load_throughput(Avg)B/s;shared_store_throughput(Avg)B/s;gld_efficiency(Avg)%;gst_efficiency(Avg)%;tex_cache_transactions(Avg);flop_count_dp(Avg);flop_count_dp_add(Avg);flop_count_dp_fma(Avg);flop_count_dp_mul(Avg);flop_count_sp(Avg);flop_count_sp_add(Avg);flop_count_sp_fma(Avg);flop_count_sp_mul(Avg);flop_count_sp_special(Avg);inst_executed(Avg);inst_issued(Avg);sysmem_utilization(Avg);stall_inst_fetch(Avg)%;stall_exec_dependency(Avg)%;stall_memory_dependency(Avg)%;stall_texture(Avg)%;stall_sync(Avg)%;stall_other(Avg)%;stall_constant_memory_dependency(Avg)%;stall_pipe_busy(Avg)%;shared_efficiency(Avg)%;inst_fp_32(Avg);inst_fp_64(Avg);inst_integer(Avg);inst_bit_convert(Avg);inst_control(Avg);inst_compute_ld_st(Avg);inst_misc(Avg);inst_inter_thread_communication(Avg);issue_slots(Avg);cf_issued(Avg);cf_executed(Avg);ldst_issued(Avg);ldst_executed(Avg);atomic_transactions(Avg);atomic_transactions_per_request(Avg);l2_atomic_throughput(Avg)B/s;l2_atomic_transactions(Avg);l2_tex_read_transactions(Avg);stall_memory_throttle(Avg)%;stall_not_selected(Avg)%;l2_tex_write_transactions(Avg);flop_count_hp(Avg);flop_count_hp_add(Avg);flop_count_hp_mul(Avg);flop_count_hp_fma(Avg);inst_fp_16(Avg);sysmem_read_utilization(Avg);sysmem_write_utilization(Avg);sm_efficiency(Avg)%;achieved_occupancy(Avg);ipc(Avg);issued_ipc(Avg);issue_slot_utilization(Avg)%;eligible_warps_per_cycle(Avg);tex_utilization(Avg);l2_utilization(Avg);shared_utilization(Avg);ldst_fu_utilization(Avg);cf_fu_utilization(Avg);special_fu_utilization(Avg);tex_fu_utilization(Avg);single_precision_fu_utilization(Avg);double_precision_fu_utilization(Avg);flop_hp_efficiency(Avg)%;flop_sp_efficiency(Avg)%;flop_dp_efficiency(Avg)%;dram_read_transactions(Avg);dram_write_transactions(Avg);dram_read_throughput(Avg)B/s;dram_write_throughput(Avg)B/s;dram_utilization(Avg);half_precision_fu_utilization(Avg);ecc_transactions(Avg);ecc_throughput(Avg)B/s;time_percentage
P_A1;bfs  BFS_kernel_multi_blk_inGPUint*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*;14.0;512.0;30.0;12605.0;7.4785;7.4785;7.4785;1.0;79525.0;99.98;83.43;79.31;0.000137;1.252323;0.682095;0.0;0.0;2.595508;13.81979;384315.0;1007858.0;0.0;0.0;2227073.0;1150000.0;0.0;5.0;12125531.0;6539602.0;29.42; 0.00;543020000.0;755330000.0;6263700000.0;4589600000.0; 0.00;44.24;80.48;99.86;14564000000.0;26411000000.0;4589600000.0;48393000000.0;26099000000.0;0.0;20923.0;0.0;0.0;16088999999.999998;6135200000.0; 8.47;16.07;3649275.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17813554.0;17819525.0;  1; 2.21; 3.08;13.81; 0.00;80.02; 0.84; 0.00; 0.01;58.06;0.0;0.0;111201540.0;0.0;133541230.0;47534346.0;160682472.0;54600.0;16348486.0;5122390.0;5122390.0;6866078.0;4339536.0;2661483.0;11.224866;21512000000.0;10780566.0;6617591.0; 0.00; 0.03;1150000.0;0.0;0.0;0.0;0.0;0.0; 0;  1;49.97;0.249998;0.089819;0.089831; 2.06;0.086737;  1;  1;  1;  1;  1;  1;  1;  1; 0; 0.00; 0.00; 0.00;1557832.0;212594.0;6217300000.0;868820000.0;  1; 0;0.0;0.0;60.048016
P_A2;bfs  BFS_in_GPU_kernelint*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*;1.0;512.0;28.0;14598.0;2.3651;2.6106;2.48785;2.0;58158.0;99.82;92.00;81.86;0.000416;1.68215;1.83791;0.0;0.0;30.132503;11.98034;54793.0;80227.0;0.0;0.0;131392.0;131984.0;0.0;5.0;1936057.0;1049175.0; 0.02; 0.00;207170000.0;207980000.0;1615800000.0;1623400000.0; 0.00;46.76;76.59;99.80;4532500000.0;12109000000.0;1623400000.0;23814000000.0;12905000000.0;0.0;64486.99999999999;0.0;0.0;3947300000.0;2695900000.0;12.52;12.51;368491.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;927290.0;930136.0;  1; 2.24; 6.98;42.61; 0.00;46.74; 1.26; 0.03; 0.08;39.89;0.0;0.0;11545862.0;0.0;4452371.0;3945706.0;4331508.0;0.0;802269.0;209372.0;209372.0;501942.0;195692.0;449390.0;13.865079;11281000000.0;1834344.0;984439.0; 0.00; 0.06;131984.0;0.0;0.0;0.0;0.0;0.0; 0;  1; 3.56;0.249997;0.201889;0.201973; 4.35;0.185625;  1;  1;  1;  1;  1; 0;  1;  1; 0; 0.00; 0.00; 0.00;292653.0;61141.0;3599700000.0;770110000.0;  1; 0;0.0;0.0;39.951984
P_B1;cutcp  cuda_cutoff_potential_lattice6overlapint, int, float4*, float, float, float, float*, int;676.0;128.0;25.0;4019.4998;0.94343;2.5683;1.9738973;26.0;81286.0; 100.00;91.56;84.10;7e-05;1.0;1.982759;0.0;0.0;7.97619;4.0;466440.0;13367161.0;0.0;0.0;1811680.0;43264.0;0.0;5.0;926565.0;43281.0;50.00; 0.00;17924000000.0;876610000.0;17924000000.0;876610000.0; 0.00;50.00;96.84;50.00;17924000000.0;17924000000.0;876610000.0;18334000000.0;876970000.0;0.0;103740.0;0.0;0.0;1058000000000.0;36918000000.0; 100.00; 100.00;905840.0;0.0;0.0;0.0;0.0;4034733751.0;402025383.0;1458921310.0;714865746.0;193542181.0;219796092.0;219811130.0;  1;10.97;26.75; 0.72; 0.00; 5.06;53.08; 0.03; 0.64; 128.73;3656355477.0;0.0;246538939.0;778752.0;1152520157.0;453718380.0;403070410.0;0.0;194390098.0;48405464.0;48405464.0;14965225.0;14254073.0;0.0;0.0;5586100.0;551.0;905840.0; 0.00; 2.75;43264.0;0.0;0.0;0.0;0.0;0.0; 0;  1;93.55;0.820161;3.010131;3.010777;66.57;4.035696;  1;  1;  2;  1;  3;  1;  1;  5; 0; 0.00;20.02; 0.00;53655.0;42325.0;1061700000.0000001;857600000.0;  1; 0;0.0;0.0;100.0
P_C1;histo  histo_prescan_kernelunsigned int*, int, unsigned int*;64.0;512.0;17.0;4000.0;0.006432;0.007584;0.0072449995;10.0;233.0625;99.60;97.85;93.99;0.016118;1.0;1.0;0.0;0.0;9.392578;0.0;4480.0;4992.0;0.0;0.0;76944.0;0.0;0.0;5.0;40069.0;141.0;48.62; 0.00;144980000000.0;0.0;177080000000.0;0.0; 0.00;48.70;73.46; 0.00;145620000000.0;177080000000.0;0.0;179470000000.0;646690000.0;0.0;22932000.0;0.0;0.0;89437000000.0;80264000000.0;81.87; 0.00;32512.0;0.0;0.0;0.0;0.0;1796096.0;422656.0;653888.0;65664.0;131072.0;238656.0;242576.0;  1;11.91;14.13;48.03; 0.00; 6.36; 9.26; 8.63; 0.43;86.32;1338816.0;0.0;2899648.0;357376.0;1176512.0;520576.0;884992.0;128.0;210704.0;44608.0;44608.0;48256.0;23936.0;128.0;1.0;587070000.0;256.0;39536.0; 0.01; 1.25;0.0;0.0;0.0;0.0;0.0;0.0; 0;  1;62.87;0.527797;1.118988;1.151279;25.00;1.368134;  1;  1;  1;  1;  1;  1;  1;  2; 0; 0.00; 1.98; 0.00;10856.0;1991.0;48628000000.0;8919000000.0;  2; 0;0.0;0.0;4.7826896
P_C2;histo  histo_main_kerneluchar4*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int*, unsigned int*, unsigned int*;84.0;768.0;19.0;24000.0;0.082051;0.083587;0.08278059;10.0;2027.2; 100.00;90.49;89.36;0.001005;11.65346;11.65346;0.0;0.0;8.0;4.0;187947.0;187947.0;0.0;0.0;1553760.0;64512.0;0.0;5.0;778294.0;64525.0;50.00; 0.00;285810000000.0;23734000000.0;285810000000.0;23734000000.0; 0.00;50.00;66.67; 0.00;285810000000.0;285810000000.0;23734000000.0;286330000000.0;23738000000.0;0.0;1883600.0;0.0;0.0;276580000000.0;276580000000.0; 100.00; 100.00;776880.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4086918.0;4091006.0;  1; 9.93;13.10;65.82; 0.00; 2.22; 5.90; 0.52; 1.17; 8.58;0.0;0.0;77404416.0;0.0;21996288.0;8799168.0;8670144.0;0.0;3642977.0;765912.0;765912.0;948480.0;317436.0;0.0;0.0;0.0;0.0;776880.0; 0.00; 1.34;64512.0;0.0;0.0;0.0;0.0;0.0; 0;  1;92.58;0.591051;1.196655;1.193499;26.57;1.543698;  1;  2;  1;  1;  1; 0;  2;  3; 0; 0.00; 0.00; 0.00;259933.0;82465.0;95628000000.0;30339000000.0;  3; 0;0.0;0.0;54.6465
P_C3;histo  histo_final_kernelunsigned int, unsigned int, unsigned int, unsigned int, unsigned int*, unsigned int*, unsigned int*, unsigned int*;42.0;512.0;32.0;0.0;0.028737;0.030753;0.029722702;10.0;689.666667; 100.00; 100.00;99.13;0.00445;0.0;0.0;0.0;0.0;8.378947;6.5625;0.0;0.0;0.0;0.0;203776.0;107520.0;0.0;5.0;140043.0;107533.0;31.66; 0.00;133050000000.00002;102720000000.0;133050000000.00002;102720000000.0; 0.00;28.27; 0.00;69.52;133050000000.00002;133050000000.00002;102720000000.0;133800000000.00002;102740000000.0;0.0;4891500.0;0.0;0.0;0.0;0.0; 100.00; 100.00;139264.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;463456.0;465508.0;  1; 1.18; 6.32;88.70; 0.00; 0.00; 0.66; 1.32; 0.94; 0.00;0.0;0.0;11341824.0;0.0;305152.0;1302528.0;1752064.0;0.0;448676.0;13568.0;13568.0;206144.0;42048.0;0.0;0.0;0.0;0.0;139264.0; 0.01; 0.86;107520.0;0.0;0.0;0.0;0.0;0.0; 0;  1;86.64;0.350718;0.368742;0.369411; 8.90;0.543036;  1;  1; 0;  1;  1; 0;  1;  1; 0; 0.00; 0.00; 0.00;139632.0;101898.0;133400000000.0;97352000000.0;  6; 0;0.0;0.0;19.621044
P_C4;histo  histo_intermediates_kerneluint2*, unsigned int, unsigned int, unsigned int, uchar4*;65.0;498.0;16.0;0.0;0.031009002;0.032256998;0.031735502;10.0;1105.0; 100.00;97.27;95.86;0.002773;0.0;0.0;0.0;0.0;11.6875;4.640625;0.0;0.0;0.0;0.0;194480.0;154440.0;0.0;5.0;140561.0;154453.0;29.14; 0.00;136100000000.0;136100000000.0;144840000000.0;162340000000.0; 0.00;39.96;14.28;48.09;137740000000.0;144840000000.0;162340000000.0;147750000000.0;162350000000.0;0.0;5381700.0;0.0;0.0;0.0;0.0;93.96;83.84;131040.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1149200.0;1152420.0;  1;14.43; 5.14;70.16; 0.00; 0.00; 3.56; 1.44; 1.63; 0.00;0.0;0.0;28420860.0;0.0;1003470.0;1553760.0;4272840.0;0.0;1135780.0;48880.0;48880.0;198640.0;52000.0;0.0;0.0;0.0;0.0;137800.0; 0.06; 3.58;154440.0;0.0;0.0;0.0;0.0;0.0; 0;  1;85.88;0.567422;1.018732;1.01807;25.08;2.261703;  1;  2; 0;  1;  1; 0;  1;  2; 0; 0.00; 0.00; 0.00;118698.0;129888.0;124770000000.0;136530000000.0;  6; 0;0.0;0.0;20.949768
P_D1;lbm  performStreamCollide_kernelfloat*, float*;18000.0;120.0;40.0;0.0;1.0877;1.4571;1.1133722;100.0;315.355657;94.13;84.66;83.13;0.000132;0.0;0.0;0.0;0.0;7.5;4.276316;0.0;0.0;0.0;0.0;10800000.0;5850000.0;0.0;5.0;5418265.0;5850013.0;50.00; 0.00;146780000000.0;139440000000.0;146780000000.0;159010000000.0; 0.00;50.00; 0.00;23.62;156570000000.0;146780000000.0;159010000000.0;147280000000.0;159010000000.0;0.0;142510.0;0.0;0.0;0.0;0.0; 100.00;87.69;5760000.0;0.0;0.0;0.0;0.0;423772295.0;107943138.0;136114430.0;43600296.0;4392435.0;22705607.0;22708608.0;  1; 0.98;20.52;17.45;31.42; 0.00;19.56; 0.03; 0.03; 0.00;302788344.0;0.0;132322731.0;0.0;23011402.0;84240000.0;60345609.0;0.0;19938618.0;1432479.0;1432479.0;11448000.0;3024000.0;0.0;0.0;0.0;0.0;5400000.0; 9.82; 0.19;5850000.0;0.0;0.0;0.0;0.0;0.0; 0;  1;99.52;0.615658;0.399102;0.399664; 8.77;0.426313;  1;  2; 0;  1;  1; 0;  1;  1; 0; 0.00; 2.90; 0.00;5416251.0;6046780.0;147220000000.0;164360000000.0; 7; 0;0.0;0.0;100.0
P_E1;mri-gridding  reorder_kernelint, unsigned int*, ReconstructionSample*, sampleArrayStruct;5188.0;512.0;14.0;0.0;0.65221;0.65221;0.65221;1.0;38.996386; 100.00; 100.00;97.44;0.00135;0.0;0.0;0.0;0.0;26.174373;11.999886;0.0;0.0;0.0;0.0;15206944.0;1991933.0;0.0;5.0;14391121.0;1991946.0; 5.44; 0.00;110630000000.0;94828000000.0;684540000000.0;94828000000.0; 0.00; 4.81;83.58; 0.00;110630000000.0;684540000000.0;94828000000.0;685100000000.0;94828000000.0;0.0;249590.0;0.0;0.0;0.0;0.0;16.16; 100.00;2323930.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3237012.0;3241383.0;  1; 0.42; 0.55;38.19;15.29; 0.00;34.55; 0.04; 0.03; 0.00;0.0;0.0;61087314.0;0.0;2656256.0;23903190.0;13280934.0;0.0;3241383.0;166006.0;166006.0;4481879.0;912998.0;0.0;0.0;0.0;0.0;14379289.0;10.84; 0.10;1991933.0;0.0;0.0;0.0;0.0;0.0; 0;  1;99.15;0.942877;0.100347;0.100329; 2.51;0.156754;  1;  3; 0;  1;  1; 0;  1;  1; 0; 0.00; 0.00; 0.00;2368943.0;1988813.0;112780000000.0;94679000000.0;  5; 0;0.0;0.0;1.5220302
P_E2;mri-gridding  splitRearrangeint, int, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*;2594.0;256.0;30.0;4062.5;0.241;1.2736;0.39674002;7.0;1339.6;98.75;61.54;54.30;0.000203;2.718016;2.0625;0.0;0.0;15.999501;21.037884;85602.0;10229420.0;26173.0;26173.0;705482.0;3492288.0;0.0;5.0;742236.0;3518479.0; 0.00; 0.00;60026000000.0;59560000000.0;63283000000.0;313270000000.0; 1.07; 0.24; 8.06;89.77;62374000000.0;65631000000.0;315610000000.0;66580000000.0;315620000000.0;0.0;470300.0;2347800000.0;2347800000.0;3670400000000.0;30715000000.0;94.85;19.06;695345.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27799949.0;27803432.0;  1; 9.09;44.88; 6.87; 3.57; 5.30;18.15; 0.15; 0.42;22.36;0.0;0.0;400964940.0;0.0;74449529.0;82539183.0;12616700.0;0.0;24236475.0;6633528.0;6633528.0;4263639.0;3586218.0;0.0;0.0;0.0;0.0;731655.0;10.77; 0.81;3518462.0;0.0;0.0;0.0;0.0;0.0; 0;  1;90.70;0.795664;1.752043;1.752849;38.11;1.910199;  1;  2;  5;  1;  2; 0;  1;  3; 0; 0.00; 0.00; 0.00;674485.0;710525.0;60503000000.0;63736000000.0;  4; 0;0.0;0.0;6.480968
