nicknames;application/kernel;Num. of Registers;sm_efficiency(Avg)%;achieved_occupancy(Avg);total_global_transactions;shared_total_transactions;inst_fp_32(Avg);inst_fp_64(Avg);inst_integer(Avg);time_percentage
P_A1;bfs  BFS_kernel_multi_blk_inGPUint*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*;30;49.97;0.249998;3377073;1392173;0;0;111201540;60.048016
P_A2;bfs  BFS_in_GPU_kernelint*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*;28;3.56;0.249997;263376;135020;0;0;11545862;39.951984
P_B1;cutcp  cuda_cutoff_potential_lattice6overlapint, int, float4*, float, float, float, float*, int;25;93.55;0.820161;1854944;13833601;3656355477;0;246538939;100
P_C1;histo  histo_prescan_kernelunsigned int*, int, unsigned int*;17;62.87;0.527797;76944;9472;1338816;0;2899648;4.7826896
P_C2;histo  histo_main_kerneluchar4*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int*, unsigned int*, unsigned int*;19;92.58;0.591051;1618272;375894;0;0;77404416;54.6465
P_C3;histo  histo_final_kernelunsigned int, unsigned int, unsigned int, unsigned int, unsigned int*, unsigned int*, unsigned int*, unsigned int*;32;86.64;0.350718;311296;0;0;0;11341824;19.621044
P_C4;histo  histo_intermediates_kerneluint2*, unsigned int, unsigned int, unsigned int, uchar4*;16;85.88;0.567422;348920;0;0;0;28420860;20.949768
P_D1;lbm  performStreamCollide_kernelfloat*, float*;40;99.52;0.615658;16650000;0;302788344;0;132322731;100
P_E1;mri-gridding  reorder_kernelint, unsigned int*, ReconstructionSample*, sampleArrayStruct;14;99.15;0.942877;17198877;0;0;0;61087314;1.5220302
P_E2;mri-gridding  splitRearrangeint, int, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*;30;90.7;0.795664;4197770;10315022;0;0;400964940;6.480968
P_E4;mri-gridding  uniformAddunsigned int, unsigned int*, unsigned int*;8;47.88;0.412678;802134;68755;0;0;17076188;0.90532804
P_E6;mri-gridding  binning_kernelunsigned int, ReconstructionSample*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int;9;99.61;0.832192;8384433;0;0;0;84976658;2.8125155
P_E7;mri-gridding  gridding_GPUsampleArrayStruct, unsigned int*, float2*, float*, float;43;99.9;0.591485;175374561;268837824;32285000000;0;21291000000;72.68621
P_E8;mri-gridding  splitSortint, int, unsigned int*, unsigned int*, unsigned int*;43;98.05;0.606613;4921261;19834466;0;0;590910276;12.65226
P_E9;mri-gridding  scan_L1_kernelunsigned int, unsigned int*, unsigned int*;22;66.76;0.44594;802134;3321879;0;0;186676384;2.8117898
P_F1;mri-q  ComputeQ_GPUint, int, float*, float*, float*, float*, float*;23;87.94;0.51076;49152;0;301989888;0;84410368;99.23405
P_G1;sad  larger_sad_calc_16unsigned short*, int, int;32;98.85;0.492545;8409840;0;0;0;52879080;8.062752
P_G2;sad  mb_sad_calcunsigned short*, unsigned short*, int, int;56;99.77;0.543463;9905280;11191680;0;0;5832794880;47.059147
P_G3;sad  larger_sad_calc_8unsigned short*, int, int;32;99.69;0.965088;33639360;0;0;0;238273440;44.878098
P_H1;sgemm  mysgemmNTfloat const *, int, float const *, int, float*, int, int, float, float;42;94.54;0.58996;19261440;17022720;1074855936;0;363804672;100
P_I1;spmv  spmv_jdsfloat*, float const *, int const *, int const *, float const *, int const *, int;30;95.43;0.851414;3762968;0;3637385;0;43682078;100
P_J1;stencil  block2D_hybrid_coarsen_xfloat, float, float*, float*, int, int, int;32;92.23;0.142899;525768;205376;6890184;0;55288720;100
P_K1;tpacf  gen_histsunsigned long*, float*, float*, float*, int, int;32;1.89;0.123065;5;580;0;0;41592;100
R_A1;b+tree  findRangeK;32;98.63;0.945335;5575416;0;0;0;209028438;52.49496
R_A2;b+tree  findK;25;98.75;0.87979;4665682;0;0;0;195896847;47.50504
R_B1;backprop_65536  bpnn_layerforward_CUDAfloat*, float*, float*, float*, int, int;17;93.97;0.928976;573440;413696;6225920;0;87097344;24.813856
R_B2;backprop_65536  bpnn_adjust_weights_cudafloat*, int, float*, int, float*, float*;20;97.58;0.960798;2179103;0;0;7340112;19923056;75.18614
R_C1;bfs_1MW_6  KernelNode*, int*, bool*, bool*, bool*, int*, int;19;83.73;0.636684;1800020;0;0;0;12460450;90.415306
R_C2;bfs_1MW_6  Kernel2bool*, bool*, bool*, bool*, int;12;83.91;0.758054;167061;0;0;0;6334229;9.584693
